src,dst,relationship,cost
"Kansk","Tyumen","Road",2284
"Kansk","Grozny","Road",5062
"Kansk","Kamyshin","Road",4066
"Kansk","Vladivostok","Road",4769
"Kansk","Kaliningrad","Road",5631
"Kansk","Yekaterinburg","Road",2611
"Kansk","Yuzhno-Sakhalinsk","Road",4910
"Tyumen","Terrible","Road",2897
"Tyumen","Kamyshin","Road",1901
"Tyumen","Vladivostok","Road",7058
"Tyumen","Kaliningrad","Road",3397
"Tyumen","Yekaterinburg","Road",330
"Tyumen","Yuzhno-Sakhalinsk","Road",7199
"Grozny","Kamyshin","Road",1006
"Grozny","Vladivostok","Road",9837
"Grozny","Kaliningrad","Road",2828
"Grozny","Yekaterinburg","Road",2608
"Grozny","Yuzhno-Sakhalinsk","Road",9978
"Kamyshin","Vladivostok","Road",8836
"Kamyshin","Kaliningrad","Road",2191
"Kamyshin","Yekaterinburg","Road",1606
"Kamyshin","Yuzhno-Sakhalinsk","Road",8977
"Vladivostok","Kaliningrad","Road",9678
"Vladivostok","Yekaterinburg","Road",7379
"Vladivostok","Yuzhno-Sakhalinsk","Road",1653
"Kaliningrad","Yekaterinburg","Road",3083
"Kaliningrad","Yuzhno-Sakhalinsk","Road",10554
"Yekaterinburg","Yuzhno-Sakhalinsk","Road",7521
"Moscow","St.Petersburg","Road",712
"Moscow","Yuzhno-Sakhalinsk","Road",9313
"St.Petersburg","Kaliningrad","Road",963
